iso_alpha3,country,population,whostandard,natstandard,pm2021,aq_monitoring,open_data,aq_standard,number_of_locations,monitor_density,aq_mon_dummy,open_data_dummy,aq_std_dummy,pm_dummy,pop_dummy,num_loc_dummy,mon_dens_dummy,opportunity_score
KNA,Saint Kitts and Nevis,50528,5,NA,3.12,N,N,N,0,0,1,1,1,0,0,1,1,5
REU,Réunion,844547,5,NA,2.97,N,N,N,0,0,1,1,1,0,0,1,1,5
UMI,United States Minor Outlying Islands,40,5,NA,2.96,N,N,N,0,0,1,1,1,0,0,1,1,5
MSR,Montserrat,5268,5,NA,2.88,N,N,N,0,0,1,1,1,0,0,1,1,5
SHN,"Saint Helena, Ascension and Tris",7530,5,NA,2.79,N,N,N,0,0,1,1,1,0,0,1,1,5
GLP,Guadeloupe,362440,5,NA,2.77,N,N,N,0,0,1,1,1,0,0,1,1,5
VCT,Saint Vincent and the Grenadines,91461,5,NA,2.63,N,N,N,0,0,1,1,1,0,0,1,1,5
GRD,Grenada,105643,5,NA,2.61,N,N,N,0,0,1,1,1,0,0,1,1,5
FRO,Faroe Islands,46808,5,NA,2.55,N,N,N,0,0,1,1,1,0,0,1,1,5
SXM,Sint Maarten,40679,5,NA,2.49,N,N,N,0,0,1,1,1,0,0,1,1,5
DMA,Dominica,68581,5,NA,2.48,N,N,N,0,0,1,1,1,0,0,1,1,5
ATG,Antigua and Barbuda,93902,5,NA,2.43,N,N,N,0,0,1,1,1,0,0,1,1,5
LCA,Saint Lucia,160086,5,NA,2.42,N,N,N,0,0,1,1,1,0,0,1,1,5
BLM,Saint-Barthélemy,6679,5,NA,2.42,N,N,N,0,0,1,1,1,0,0,1,1,5
MAF,Saint-Martin,30778,5,NA,2.25,N,N,N,0,0,1,1,1,0,0,1,1,5
VIR,"Virgin Islands, U.S.",99181,5,NA,2.25,N,N,N,0,0,1,1,1,0,0,1,1,5
AIA,Anguilla,16664,5,NA,2.21,N,N,N,0,0,1,1,1,0,0,1,1,5
CXR,Christmas Island,1702,5,NA,2.18,N,N,N,0,0,1,1,1,0,0,1,1,5
VGB,British Virgin Islands,33045,5,NA,2.09,N,N,N,0,0,1,1,1,0,0,1,1,5
FLK,Falkland Islands,2884,5,NA,2,N,N,N,0,0,1,1,1,0,0,1,1,5
PCN,Pitcairn Islands,14,5,NA,1.96,N,N,N,0,0,1,1,1,0,0,1,1,5
CCK,Cocos Islands,493,5,NA,1.81,N,N,N,0,0,1,1,1,0,0,1,1,5
NFK,Norfolk Island,1713,5,NA,1.8,N,N,N,0,0,1,1,1,0,0,1,1,5
TON,Tonga,97326,5,NA,1.77,N,N,N,0,0,1,1,1,0,0,1,1,5
PYF,French Polynesia,237315,5,NA,1.4,N,N,N,0,0,1,1,1,0,0,1,1,5
WLF,Wallis and Futuna,13226,5,NA,1.34,N,N,N,0,0,1,1,1,0,0,1,1,5
GUM,Guam,164967,5,NA,1.33,N,N,N,0,0,1,1,1,0,0,1,1,5
NRU,Nauru,6181,5,NA,1.32,N,N,N,0,0,1,1,1,0,0,1,1,5
TUV,Tuvalu,5975,5,NA,1.32,N,N,N,0,0,1,1,1,0,0,1,1,5
WSM,Samoa,183008,5,NA,1.22,N,N,N,0,0,1,1,1,0,0,1,1,5
KIR,Kiribati,67991,5,NA,1.04,N,N,N,0,0,1,1,1,0,0,1,1,5
FSM,Micronesia,78383,5,NA,1.04,N,N,N,0,0,1,1,1,0,0,1,1,5
ASM,American Samoa,43160,5,NA,1.02,N,N,N,0,0,1,1,1,0,0,1,1,5
MNP,Northern Mariana Islands,48593,5,NA,1,N,N,N,0,0,1,1,1,0,0,1,1,5
MHL,Marshall Islands,33951,5,NA,0.98,N,N,N,0,0,1,1,1,0,0,1,1,5
COK,Cook Islands,6273,5,NA,0.96,N,N,N,0,0,1,1,1,0,0,1,1,5
NIU,Niue,1864,5,NA,0.94,N,N,N,0,0,1,1,1,0,0,1,1,5
XSP,Spratly Islands,111,5,NA,0,N,N,N,0,0,1,1,1,0,0,1,1,5
NPL,Nepal,30457421,5,NA,51.71,Y,N,N,89,2.9221121512553543e-6,0,1,1,1,1,0,0,4
MMR,Myanmar,55897221,5,NA,34.98,Y,N,N,18,3.2201958662667685e-7,0,1,1,1,1,0,0,4
RWA,Rwanda,12934347,5,NA,32.36,Y,N,N,6,4.6388116848883055e-7,0,1,1,1,1,0,0,4
GTM,Guatemala,17402899,5,NA,29.05,Y,N,N,38,2.1835442474268225e-6,0,1,1,1,1,0,0,4
UGA,Uganda,44567430,5,NA,26.69,Y,N,N,49,1.0994576083924964e-6,0,1,1,1,1,0,0,4
BOL,Bolivia,11759069,5,NA,25.19,Y,N,N,15,1.2756111899675051e-6,0,1,1,1,1,0,0,4
IRQ,Iraq,39646281,5,NA,24.62,Y,N,N,7,1.7656132740420217e-7,0,1,1,1,1,0,0,4
GAB,Gabon,2277423,5,NA,23.57,N,N,N,14,6.147298942708491e-6,1,1,1,1,0,0,0,4
NGA,Nigeria,218604443,5,NA,23,Y,N,N,60,2.744683464644861e-7,0,1,1,1,1,0,0,4
MKD,Macedonia,2120037,5,NA,22.89,N,N,N,14,6.603658332378161e-6,1,1,1,1,0,0,0,4
TUR,Turkey,81848204,5,NA,21.78,Y,N,N,157,1.9181850343350234e-6,0,1,1,1,1,0,0,4
UZB,Uzbekistan,30988328,5,NA,20.04,Y,N,N,9,2.9043193295230385e-7,0,1,1,1,1,0,0,4
JOR,Jordan,10912210,5,NA,18.6,Y,N,N,4,3.6656186052137926e-7,0,1,1,1,1,0,0,4
EGY,Egypt,106245735,5,50,18.24,Y,N,Y,2,1.882428504071246e-8,0,1,0,1,1,0,1,4
ARE,United Arab Emirates,9784395,5,NA,16.81,Y,N,N,14,1.430849837930705e-6,0,1,1,1,1,0,0,4
TJK,Tajikistan,8977811,5,NA,16.69,Y,N,N,3,3.341571792945964e-7,0,1,1,1,1,0,0,4
MYS,Malaysia,33265680,5,NA,13.74,Y,N,N,31,9.318913667178906e-7,0,1,1,1,1,0,0,4
ALB,Albania,3082234,5,25,13.53,Y,N,Y,0,0,0,1,0,1,0,1,1,4
KAZ,Kazakhstan,19244616,5,NA,13.28,Y,N,N,20,1.039251705515974e-6,0,1,1,1,1,0,0,4
GHA,Ghana,32327350,5,NA,13.12,Y,N,N,107,3.3098908509358176e-6,0,1,1,1,1,0,0,4
PSE,Palestine,4919477,5,NA,12.61,N,N,N,2,4.0654728134718386e-7,1,1,1,1,0,0,0,4
CRI,Costa Rica,5123419,5,NA,12.51,Y,N,N,3,5.855464876091532e-7,0,1,1,1,1,0,0,4
AZE,Azerbaijan,10205985,5,NA,12.4,Y,N,N,2,1.9596344693824262e-7,0,1,1,1,1,0,0,4
NAM,Namibia,2674922,5,NA,11.97,N,N,N,2,7.47685353068239e-7,1,1,1,1,0,0,0,4
BRA,Brazil,213107172,5,NA,11.07,Y,N,N,208,9.760347249129654e-7,0,1,1,1,1,0,0,4
CIV,Côte d'Ivoire,28001030,5,NA,10.76,N,N,N,5,1.785648599355095e-7,1,1,1,0,1,0,0,4
LBR,Liberia,5105621,5,NA,10.48,N,N,N,2,3.9172512021554284e-7,1,1,1,0,1,0,0,4
