"iso_alpha3","country","population","pm2021","aq_monitoring","open_data","aq_standard","tot_monitor","govt","other","monitor_density","Funding in USD million","pm_qtile","pop_qtile","monitor_dens_qtile","gbd_dummy","registry","Income.classification","aq_mon_dummy","open_data_dummy","aq_std_dummy","num_loc_dummy","govt_dummy","other_dummy","funding_dummy","pm_quintile","pop_quintile","mon_dens_quintile","opportunity_score","bands"
"ROU","Romania",21230301,15.03,"Y","Y","Y",174,127,47,8.19583292766315,NA,3,4,4,1,0,"High Income",0,0,0,0,0,0,0,1.2,1.6,0.8,4.6,"Low"
"BIH","Bosnia and Herzegovina",3816193,23.73,"Y","Y","Y",88,20,68,23.0596303698476,0.85408322538293,5,1,5,1,0,NA,0,0,0,0,0,0,0,2,0.4,1,4.4,"Low"
"SRB","Serbia",7003880,20.21,"Y","Y","Y",85,74,11,12.1361302592277,1.050806,4,2,5,1,0,NA,0,0,0,0,0,0,0,1.6,0.8,1,4.4,"Low"
"GBR","United Kingdom",65812705,8.65,"Y","Y","Y",723,421,302,10.9857207662259,NA,1,5,5,0,1,"High Income",0,0,0,0,0,0,0,0.4,2,1,4.4,"Low"
"MEX","México",130067436,17.29,"Y","Y","Y",715,220,495,5.49714841768696,0.373827231751097,4,5,4,0,0,NA,0,0,0,0,0,0,0,1.6,2,0.8,4.4,"Low"
"USA","United States",330656400,7.84,"Y","Y","Y",29424,3092,26332,88.9866338591964,NA,1,5,5,0,1,"High Income",0,0,0,0,0,0,0,0.4,2,1,4.4,"Low"
"BEL","Belgium",11779045,10.12,"Y","Y","Y",119,109,10,10.1026865930133,NA,2,3,5,0,0,"High Income",0,0,0,0,0,1,0,0.8,1.2,1,4,"Low"
"CAN","Canada",37325048,8.01,"Y","Y","Y",2332,316,2016,62.4781514011717,NA,1,4,5,0,1,"High Income",0,0,0,0,0,0,0,0.4,1.6,1,4,"Low"
"SVN","Slovenia",2067880,13.44,"Y","Y","Y",23,19,4,11.1225022728592,NA,3,1,5,0,0,"High Income",0,0,0,0,0,1,0,1.2,0.4,1,3.6,"Low"
"SWE","Sweden",10108500,5.54,"Y","Y","Y",73,63,10,7.22164515012119,NA,1,3,4,0,0,"High Income",0,0,0,0,0,1,0,0.4,1.2,0.8,3.4,"Low"
"PRT","Portugal",10153019,6.35,"Y","Y","Y",73,63,10,7.18997965038773,NA,1,3,4,0,0,"High Income",0,0,0,0,0,1,0,0.4,1.2,0.8,3.4,"Low"
"ESP","Spain",46687904,7.54,"Y","Y","Y",556,470,86,11.9088661594232,NA,1,5,5,0,0,"High Income",0,0,0,0,0,0,0,0.4,2,1,3.4,"Low"
"FRA","France",65606656,9.17,"Y","Y","Y",633,589,44,9.64841128314786,NA,1,5,5,0,0,"High Income",0,0,0,0,0,0,0,0.4,2,1,3.4,"Low"
"NLD","Netherlands",17290824,9.68,"Y","N","Y",114,88,26,6.59309238241046,NA,1,3,4,0,0,"High Income",0,1,0,0,0,0,0,0.4,1.2,0.8,3.4,"Low"
"FIN","Finland",5458427,5.14,"Y","Y","Y",59,52,7,10.8089748200351,NA,1,2,5,0,0,"High Income",0,0,0,0,0,1,0,0.4,0.8,1,3.2,"Low"
"DEU","Germany",79867443,9.34,"Y","Y","Y",485,433,52,6.07256200752539,NA,1,5,4,0,0,"High Income",0,0,0,0,0,0,0,0.4,2,0.8,3.2,"Low"
